No.;Gene name;Drug target oncokb
2847;SERINC1;#N/A
2848;GSK3A;#N/A
2849;CLDN11;#N/A
2850;UBE2D3;#N/A
2851;PNKD;#N/A
2852;CBX1;#N/A
2853;RIMS2;#N/A
2854;TFF1;#N/A
2855;MPP1;#N/A
2856;IGFBP6;#N/A
2857;HNRNPK;#N/A
2858;MRPS7;#N/A
2859;ZNF829;#N/A
2860;ZC3H12A;#N/A
2861;SRSF3;#N/A
2862;IGFBP7;#N/A
2863;STK11;x
2864;SLC9A1;#N/A
2865;PHF10;#N/A
2866;TXNDC16;#N/A
2867;FKBP1A;#N/A
2868;SSRP1;#N/A
2869;FOXN1;#N/A
2870;ACSL4;#N/A
2871;MAFG;#N/A
2872;MYOC;#N/A
2873;NTRK3;x
2874;GNAZ;#N/A
2875;ANXA5;#N/A
2876;MAP3K1;x
2877;RPS6KA2;#N/A
2878;SKIL;#N/A
2879;DCTN6;#N/A
2880;GART;#N/A
2881;PRDX6;#N/A
2882;LATS1;x
2883;PAAF1;#N/A
2884;PSAP;#N/A
2885;TNIP2;#N/A
2886;ZC3H3;#N/A
2887;MUSK;#N/A
2888;TRIM63;#N/A
2889;XRCC3;#N/A
2890;ZIC3;#N/A
2891;HRK;#N/A
2892;EBNA1BP2;#N/A
2893;PCGF5;#N/A
2894;ARHGEF2;#N/A
2895;DNM2;x
2896;RGCC;#N/A
2897;ITGA6;#N/A
2898;RNF31;#N/A
2899;GTF2F1;#N/A
2900;DCBLD2;#N/A
2901;BMF;#N/A
2902;TERF2;#N/A
2903;PRKD2;#N/A
2904;WWC1;#N/A
2905;COMMD1;#N/A
2906;PLN;#N/A
2907;HIPK2;#N/A
2908;EYA3;#N/A
2909;OSMR;#N/A
2910;TRIM33;#N/A
2911;GRN;#N/A
2912;ABI1;#N/A
2913;TP53BP1;x
2914;FOSL1;#N/A
2915;IL33;#N/A
2916;DNMT3A;x
2917;ACY3;#N/A
2918;SDCBP;#N/A
2919;DHCR7;#N/A
2920;ITGB1BP1;#N/A
2921;PFN2;#N/A
2922;PAK2;#N/A
2923;PCGF6;#N/A
2924;NDUFS7;#N/A
2925;ANXA2;#N/A
2926;MYO6;#N/A
2927;NEO1;#N/A
2928;CEBPG;#N/A
2929;CARD8;#N/A
2930;CFL1;#N/A
2931;HGS;#N/A
2932;MTA1;#N/A
2933;PTPN22;#N/A
2934;REL;x
2935;EEF1A1;#N/A
2936;DHH;#N/A
2937;APBB1;#N/A
2938;EHD2;#N/A
2939;RASA1;x
2940;MAFK;#N/A
2941;FHOD1;#N/A
2942;ROR1;#N/A
2943;SERPINA1;#N/A
2944;THBS3;#N/A
2945;EDNRB;#N/A
2946;NKD2;#N/A
2947;WWOX;#N/A
2948;CRYAB;#N/A
2949;BCAN;#N/A
2950;ENAH;#N/A
2951;PLSCR1;#N/A
2952;CTCF;x
2953;PITX2;#N/A
2954;PHB2;#N/A
2955;ESRRB;#N/A
2956;CNDP1;#N/A
2957;DYNLT1;#N/A
2958;TOPBP1;#N/A
2959;SOX18;#N/A
2960;FANCI;#N/A
2961;ZNF24;#N/A
2962;DYNC1H1;#N/A
2963;KRTAP5-9;#N/A
2964;SRGN;#N/A
2965;ACTL6B;#N/A
2966;CACNA1A;#N/A
2967;TUBB4B;#N/A
2968;UBL4A;#N/A
2969;COL6A2;#N/A
2970;KPNB1;#N/A
2971;WWP2;#N/A
2972;USP36;#N/A
2973;CACYBP;#N/A
2974;RPTOR;x
2975;SET;x
2976;USF2;#N/A
2977;SMARCD2;#N/A
2978;CCL19;#N/A
2979;PRKAB1;#N/A
2980;ABCC12;#N/A
2981;RPF2;#N/A
2982;SNX9;#N/A
2983;TGOLN2;#N/A
2984;ATP2B4;#N/A
2985;SOST;#N/A
2986;ACTN4;#N/A
2987;GLRX;#N/A
2988;PARD6B;#N/A
2989;BCOR;x
2990;IL12RB2;#N/A
2991;TRA2A;#N/A
2992;PIM2;#N/A
2993;RAD51;x
2994;CNKSR1;#N/A
2995;TNS1;#N/A
2996;ATOX1;#N/A
2997;NR1H2;#N/A
2998;RAB8B;#N/A
2999;EEF1G;#N/A
3000;AKAP8L;#N/A
3001;RUNX3;#N/A
3002;PPP2R5C;#N/A
3003;SUFU;x
3004;OTUD4;#N/A
3005;NR4A3;x
3006;SNX33;#N/A
3007;CDC27;#N/A
3008;NCAPG;#N/A
3009;MAD2L2;x
3010;EPC1;#N/A
3011;OCLN;#N/A
3012;SGTA;#N/A
3013;ACVRL1;#N/A
3014;KITLG;#N/A
3015;MAFA;#N/A
3016;HIPK1;#N/A
3017;TAF1;x
3018;NR1I2;#N/A
3019;AP1B1;#N/A
3020;DUSP1;#N/A
3021;USP3;#N/A
3022;ACTL6A;#N/A
3023;PRPF40A;#N/A
3024;TNFRSF14;x
3025;APOBEC3G;#N/A
3026;CDC25A;#N/A
3027;GBE1;#N/A
3028;GAPDHS;#N/A
3029;UGDH;#N/A
3030;TNFRSF13B;#N/A
3031;RAMP3;#N/A
3032;DDRGK1;#N/A
3033;SUSD3;#N/A
3034;EMILIN1;#N/A
3035;SNAI2;#N/A
3036;NCKAP1;#N/A
3037;PCBP3;#N/A
3038;PTN;#N/A
3039;EPOR;x
3040;ENDOG;#N/A
3041;MTA2;#N/A
3042;ANK2;#N/A
3043;TIGIT;#N/A
3044;GDF2;#N/A
3045;EGLN1;#N/A
3046;TJAP1;#N/A
3047;THY1;#N/A
3048;SOCS4;#N/A
3049;ANAPC2;#N/A
3050;VCL;#N/A
3051;KAT7;x
3052;CCNB2;#N/A
3053;FAM189A2;#N/A
3054;NEDD1;#N/A
3055;IL16;#N/A
3056;PMS1;x
3057;NELFB;#N/A
3058;MYOCD;#N/A
3059;DNAAF2;#N/A
3060;TRERF1;#N/A
3061;DOK5;#N/A
3062;AKR1D1;#N/A
3063;KHDRBS2;#N/A
3064;SH2D3C;#N/A
3065;TRAF4;#N/A
3066;ZWILCH;#N/A
3067;FOXK1;#N/A
3068;IL2RA;#N/A
3069;AGO3;#N/A
3070;EFNA5;#N/A
3071;NELFA;#N/A
3072;NOS1;#N/A
3073;AP1M2;#N/A
3074;FXR2;#N/A
3075;PCDH17;#N/A
3076;F10;#N/A
3077;A2M;#N/A
3078;SPTLC1;#N/A
3079;STX12;#N/A
3080;CD27;#N/A
3081;AMER3;#N/A
3082;CANX;#N/A
3083;DDA1;#N/A
3084;CD6;#N/A
3085;RBMS3;#N/A
3086;E2F4;#N/A
3087;RHOJ;#N/A
3088;WDR5;#N/A
3089;MAEA;#N/A
3090;RARG;#N/A
3091;P4HB;#N/A
3092;EXOC5;#N/A
3093;DLG2;#N/A
3094;LEP;#N/A
3095;HTR2A;#N/A
3096;CTNNBIP1;#N/A
3097;LIMK2;#N/A
3098;ALOX5AP;#N/A
3099;UBE3A;#N/A
3100;ZFP41;#N/A
3101;AP1G1;#N/A
3102;IL7R;x
3103;GDF6;#N/A
3104;GATAD2A;#N/A
3105;ELAVL1;#N/A
3106;POLH;#N/A
3107;PLS1;#N/A
3108;CD59;#N/A
3109;TEKT2;#N/A
3110;MYO5A;x
3111;MEN1;x
3112;SIAH2;#N/A
3113;CYTH1;#N/A
3114;RAP1A;#N/A
3115;BCAR1;#N/A
3116;NIPSNAP1;#N/A
3117;PIAS1;#N/A
3118;PDGFC;#N/A
3119;H2AZ1;#N/A
3120;RECK;#N/A
3121;PPP2R5A;#N/A
3122;DPP8;#N/A
3123;MIB1;#N/A
3124;SH3RF1;#N/A
3125;IL15RA;#N/A
3126;ACTR3;#N/A
3127;NR1D1;#N/A
3128;GDF5;#N/A
3129;S100A10;#N/A
3130;NPAT;#N/A
3131;TOMM40;#N/A
3132;WASL;#N/A
3133;NRP2;#N/A
3134;CALCR;#N/A
3135;HDAC9;#N/A
3136;CHRNA7;#N/A
3137;INPP5D;#N/A
3138;NSD2;x
3139;HINFP;#N/A
3140;ALG3;#N/A
3141;PDIA6;#N/A
3142;PIGK;#N/A
3143;RAB4A;#N/A
3144;SREBF1;#N/A
3145;TSC1;x
3146;ZFP36;#N/A
3147;DYNC2H1;#N/A
3148;KSR1;#N/A
3149;TUBB4A;#N/A
3150;CYP1A1;#N/A
3151;HOXB1;#N/A
3152;LPAR4;#N/A
3153;CUL2;#N/A
3154;NDUFA13;#N/A
3155;PRC1;#N/A
3156;NIFK;#N/A
3157;COL8A2;#N/A
3158;TXNDC2;#N/A
3159;MAFB;x
3160;ZNF268;#N/A
3161;S100A8;#N/A
3162;F2RL1;#N/A
3163;STRN;#N/A
3164;PLEK;#N/A
3165;TPM1;#N/A
3166;PSG4;#N/A
3167;PTPRC;#N/A
3168;ARPC5;#N/A
3169;DGUOK;#N/A
3170;PRMT6;#N/A
3171;BSG;#N/A
3172;IL5RA;#N/A
3173;CBLB;#N/A
3174;RORB;#N/A
3175;FLI1;x
3176;ELF3;x
3177;SNRNP200;#N/A
3178;TCL1A;x
3179;LMNB1;#N/A
3180;RASGRP3;#N/A
3181;RSF1;#N/A
3182;CTTN;#N/A
3183;NUP153;#N/A
3184;ELANE;#N/A
3185;WDR48;#N/A
3186;PON2;#N/A
3187;ATP5MC1;#N/A
3188;RFX3;#N/A
3189;EPHA3;x
3190;NFAT5;#N/A
3191;DOLPP1;#N/A
3192;IL11RA;#N/A
3193;FERMT2;#N/A
3194;ARPC5L;#N/A
3195;CHAF1A;#N/A
3196;MIOS;#N/A
3197;BCAT1;#N/A
3198;MLKL;#N/A
3199;SRPK2;#N/A
3200;PDCD10;#N/A
3201;MAP3K2;#N/A
3202;STX3;#N/A
3203;KLC1;#N/A
3204;GH1;#N/A
3205;MAN2C1;#N/A
3206;PMS2;x
3207;TRIM37;#N/A
3208;DTL;#N/A
3209;ZGPAT;#N/A
3210;MTF2;#N/A
3211;ZACN;#N/A
3212;HBA1;#N/A
3213;IFIT1;#N/A
3214;PTP4A3;#N/A
3215;COLEC10;#N/A
3216;TNKS2;#N/A
3217;PARP9;#N/A
3218;MCM9;#N/A
3219;FUBP3;#N/A
3220;FBXO5;#N/A
3221;PPM1A;#N/A
3222;FHL2;#N/A
3223;SP3;#N/A
3224;DYNLL2;#N/A
3225;TLE2;#N/A
3226;THRA;#N/A
3227;NTM;#N/A
3228;SNX18;#N/A
3229;TWIST2;#N/A
3230;SUN2;#N/A
3231;SCARB1;#N/A
3232;C5;#N/A
3233;SUMO3;#N/A
3234;ARMC8;#N/A
3235;ARG1;#N/A
3236;CIDEA;#N/A
3237;TRIM5;#N/A
3238;HBS1L;#N/A
3239;RNF213;#N/A
3240;NOSIP;#N/A
3241;PVR;#N/A
3242;BCR;x
3243;RNF41;#N/A
3244;ANKHD1;#N/A
3245;RREB1;#N/A
3246;RYBP;x
3247;CDX2;#N/A
3248;TUBB2A;#N/A
3249;FABP1;#N/A
3250;DAB2;#N/A
3251;ANK3;#N/A
3252;IGFLR1;#N/A
3253;E2F6;#N/A
3254;ARPC2;#N/A
3255;SP110;#N/A
3256;APOA4;#N/A
3257;GCK;#N/A
3258;IGF2R;#N/A
3259;FCGR3B;#N/A
3260;LNX1;#N/A
3261;S1PR3;#N/A
3262;ATF5;#N/A
3263;C8A;#N/A
3264;DCTPP1;#N/A
3265;CCDC88A;#N/A
3266;NCK2;#N/A
3267;KIF7;#N/A
3268;CTSB;#N/A
3269;POGZ;#N/A
3270;TAL1;x
3271;BTAF1;#N/A
3272;PKN1;#N/A
3273;NAF1;#N/A
3274;ASCL1;#N/A
3275;BCL2L2-PABPN1;#N/A
3276;NID1;#N/A
3277;VPS18;#N/A
3278;OTUB2;#N/A
3279;ACTN1;#N/A
3280;SIRT3;#N/A
3281;LAT;#N/A
3282;LBR;#N/A
3283;DLX1;#N/A
3284;RP2;#N/A
3285;MTNR1B;#N/A
3286;BRK1;#N/A
3287;PARP4;#N/A
3288;CSF1;#N/A
3289;TLE3;#N/A
3290;HDGF;#N/A
3291;TTK;#N/A
3292;SLIT2;#N/A
3293;ARHGEF26;#N/A
3294;ELMO2;#N/A
3295;OLFM1;#N/A
3296;EEF1A2;#N/A
3297;SEC22B;#N/A
3298;CCL1;#N/A
3299;NPAS2;#N/A
3300;CIITA;x
3301;SOD1;#N/A
3302;RNF114;#N/A
3303;IL20RB;#N/A
3304;ASS1;#N/A
3305;UGT1A10;#N/A
3306;PPP1R12C;#N/A
3307;PRKAG3;#N/A
3308;AGTR2;#N/A
3309;LDB2;#N/A
3310;PPP2R5E;#N/A
3311;EGLN2;#N/A
3312;CAPZA2;#N/A
3313;CD2AP;#N/A
3314;CDH23;#N/A
3315;PINK1;#N/A
3316;NR2F2;#N/A
3317;UBQLN1;#N/A
3318;GLIS2;#N/A
3319;TRIM27;x
3320;SMPD1;#N/A
3321;MPHOSPH8;#N/A
3322;RILP;#N/A
3323;PROS1;#N/A
3324;VGLL3;#N/A
3325;HPSE;#N/A
3326;TRPS1;#N/A
3327;S1PR2;#N/A
3328;WWTR1;x
3329;DCTN1;#N/A
3330;ELF1;#N/A
3331;SP100;#N/A
3332;FOXA3;#N/A
3333;NPHS1;#N/A
3334;EFS;#N/A
3335;HESX1;#N/A
3336;ARPC3;#N/A
3337;CLIP3;#N/A
3338;LPIN1;#N/A
3339;FBXL7;#N/A
3340;ADORA3;#N/A
3341;POU2F3;#N/A
3342;CDK11A;#N/A
3343;PTPRS;x
3344;TMEM129;#N/A
3345;CCL17;#N/A
3346;RYK;#N/A
3347;MEPCE;#N/A
3348;CDC73;x
3349;LPIN2;#N/A
3350;BCL2L13;#N/A
3351;HYAL2;#N/A
3352;CHMP6;#N/A
3353;TUBB2B;#N/A
3354;TEAD2;#N/A
3355;KRT8;#N/A
3356;CENPB;#N/A
3357;RFTN1;#N/A
3358;CD82;#N/A
3359;AKR1B15;#N/A
3360;OFD1;#N/A
3361;CCNT1;#N/A
3362;POU4F2;#N/A
3363;CYTH4;#N/A
3364;CALCRL;#N/A
3365;ADRB2;#N/A
3366;IL17RA;#N/A
3367;NF1;x
3368;S100A9;#N/A
3369;KCNE4;#N/A
3370;ANKRD17;#N/A
3371;SLC2A3;#N/A
3372;ATP7A;#N/A
3373;CX3CR1;#N/A
3374;CTSC;#N/A
3375;SMARCA5;#N/A
3376;JMJD6;#N/A
3377;FOXF1;x
3378;CDK3;#N/A
3379;PPP2R5B;#N/A
3380;PSEN2;#N/A
3381;RASSF2;#N/A
3382;MATN2;#N/A
3383;C1orf43;#N/A
3384;DCTN2;#N/A
3385;DCTN3;#N/A
3386;H3-4;#N/A
3387;MYOD1;x
3388;FTL;#N/A
3389;ANGEL2;#N/A
3390;CERS6;#N/A
3391;HOXA10;#N/A
3392;TUBB6;#N/A
3393;MIS12;#N/A
3394;KLC2;#N/A
3395;SH3KBP1;#N/A
3396;FYCO1;#N/A
3397;SEC16A;#N/A
3398;RBBP7;#N/A
3399;XPA;x
3400;INVS;#N/A
3401;SMARCAD1;#N/A
3402;ARPC4;#N/A
3403;PATJ;#N/A
3404;FSHB;#N/A
3405;PRKCI;x
3406;MSR1;#N/A
3407;USP7;#N/A
3408;NR1D2;#N/A
3409;ALDH3A2;#N/A
3410;RAB31;#N/A
3411;IFT57;#N/A
3412;ACADVL;#N/A
3413;PRDX1;#N/A
3414;IFIT1B;#N/A
3415;GPX1;#N/A
3416;RHEB;x
3417;TOP2B;#N/A
3418;CD34;#N/A
3419;CALCOCO1;#N/A
3420;WNK3;#N/A
3421;ADORA1;#N/A
3422;UBR2;#N/A
3423;POLR2L;#N/A
3424;DNAJA3;#N/A
3425;CASK;#N/A
3426;ASXL1;x
3427;CXCL9;#N/A
3428;GLT8D2;#N/A
3429;HIC1;#N/A
3430;GPC6;#N/A
3431;ECSIT;x
3432;PARP2;#N/A
3433;LILRB1;#N/A
3434;CD28;x
3435;CKS1B;#N/A
3436;GYPC;#N/A
3437;OSR1;#N/A
3438;PICALM;#N/A
3439;DSE;#N/A
3440;AVP;#N/A
3441;DHX36;#N/A
3442;RBBP4;#N/A
3443;MYOG;#N/A
3444;TMEM219;#N/A
3445;CD1D;#N/A
3446;NUP133;#N/A
3447;GAS1;#N/A
3448;H3C15;#N/A
3449;SGPP1;#N/A
3450;DAZ1;#N/A
3451;TRA2B;#N/A
3452;LIMK1;#N/A
3453;THUMPD1;#N/A
3454;DCX;#N/A
3455;ING5;#N/A
3456;PHF8;#N/A
3457;ACE;#N/A
3458;PDCD5;#N/A
3459;AHNAK;#N/A
3460;STX4;#N/A
3461;CLK4;#N/A
3462;RBMS1;#N/A
3463;DYNC1LI2;#N/A
3464;RBPMS;#N/A
3465;HSPB6;#N/A
3466;GPLD1;#N/A
3467;HHEX;#N/A
3468;ARPC1A;#N/A
3469;G3BP1;#N/A
3470;TNFSF12;#N/A
3471;PFN1;#N/A
3472;RBPMS2;#N/A
3473;FOXD3;#N/A
3474;PLCD3;#N/A
3475;RAB9A;#N/A
3476;SELL;#N/A
3477;STX10;#N/A
3478;ITGB5;#N/A
3479;DHX9;#N/A
3480;DDX20;#N/A
3481;ATF3;#N/A
3482;SERPINB6;#N/A
3483;ASXL2;x
3484;GPR18;#N/A
3485;TUBB8;#N/A
3486;SUPT5H;#N/A
3487;CLEC4M;#N/A
3488;RAP1B;#N/A
3489;MYEF2;#N/A
3490;EPHA7;x
3491;LDB1;#N/A
3492;NAA50;#N/A
3493;LACRT;#N/A
3494;PGR;x
3495;EIF4B;#N/A
3496;BACH1;#N/A
3497;MAPKAPK2;#N/A
3498;PCDHB15;#N/A
3499;GYPA;#N/A
3500;CD47;#N/A
3501;PPP1R12B;#N/A
3502;RFC5;#N/A
3503;FASN;#N/A
3504;FBL;#N/A
3505;ANGPT1;#N/A
3506;EXOC7;#N/A
3507;CFL2;#N/A
3508;ELMO1;#N/A
3509;CHRD;#N/A
3510;PDLIM5;#N/A
3511;MEIS2;#N/A
3512;BEX1;#N/A
3513;LPL;#N/A
3514;WDR83;#N/A
3515;DYRK1A;#N/A
3516;ZNF219;#N/A
3517;LLGL2;#N/A
3518;RPL23;#N/A
3519;EHMT2;#N/A
3520;RHOQ;#N/A
3521;DAAM1;#N/A
3522;CDKN1C;x
3523;RHOH;#N/A
3524;PRICKLE3;#N/A
3525;CHD4;x
3526;CD53;#N/A
3527;ACTG2;#N/A
3528;RAB1B;#N/A
3529;PPP2R3C;#N/A
3530;NR2C2;#N/A
3531;LZTS2;#N/A
3532;RAD1;#N/A
3533;PTPN13;x
3534;MLXIPL;#N/A
3535;MAPT;#N/A
3536;PGRMC1;#N/A
3537;TNRC6B;#N/A
3538;QKI;x
3539;PCGF3;#N/A
3540;KRT14;#N/A
3541;GHR;#N/A
3542;TBXA2R;#N/A
3543;SRY;#N/A
3544;CTCFL;#N/A
3545;CTNND2;#N/A
3546;MED13;#N/A
3547;HOXB9;#N/A
3548;C8B;#N/A
3549;MAP3K3;#N/A
3550;MYO16;#N/A
3551;RAB9B;#N/A
3552;WDR26;#N/A
3553;APOA2;#N/A
3554;NCOA2;#N/A
3555;NFIL3;#N/A
3556;KLF10;#N/A
3557;FBLN1;#N/A
3558;MCC;#N/A
3559;TBX21;#N/A
3560;SCX;#N/A
3561;THRAP3;#N/A
3562;PRKAG2;#N/A
3563;SLAMF1;#N/A
3564;FOXI2;#N/A
3565;VPS41;#N/A
3566;MKKS;#N/A
3567;PRKAR1A;x
3568;ACTR1B;#N/A
3569;SPTA1;#N/A
3570;HS3ST3B1;#N/A
3571;RAB3GAP2;#N/A
3572;AIF1;#N/A
3573;PARP3;#N/A
3574;MFAP5;#N/A
3575;AMHR2;#N/A
3576;PHC3;#N/A
3577;LRRK1;#N/A
3578;MYF5;#N/A
3579;TP53AIP1;#N/A
3580;CDON;#N/A
3581;PCOLCE;#N/A
3582;ACTR1A;#N/A
3583;MAP1A;#N/A
3584;BAG3;#N/A
3585;AMOTL1;#N/A
3586;ATF7IP;#N/A
3587;HSPB2;#N/A
3588;ACTR10;#N/A
3589;VPS16;#N/A
3590;AHNAK2;#N/A
3591;KIF5A;#N/A
3592;HK3;#N/A
3593;PNPT1;#N/A
3594;HLA-DPA1;#N/A
3595;FOXP2;#N/A
3596;RAN;#N/A
3597;BAG1;#N/A
3598;SERTAD1;#N/A
3599;CDC37;#N/A
3600;DYNC1I2;#N/A
3601;NDUFB7;#N/A
3602;TMEM248;#N/A
3603;CAPN2;#N/A
3604;SNF8;#N/A
3605;MLF1;#N/A
3606;MAFF;#N/A
3607;KIF5C;#N/A
3608;AP1M1;#N/A
3609;MAP3K8;#N/A
3610;P3H1;#N/A
3611;MYL10;#N/A
3612;ILF2;#N/A
3613;DFFA;#N/A
3614;GRIN1;#N/A
3615;C2;#N/A
3616;C4B;#N/A
3617;PRKAR2B;#N/A
3618;KLK13;#N/A
3619;YIF1A;#N/A
3620;DTYMK;#N/A
3621;NSD1;x
3622;APOC3;#N/A
3623;SGMS2;#N/A
3624;MED30;#N/A
3625;MRC2;#N/A
3626;SAMHD1;x
3627;VPS11;#N/A
3628;PTH;#N/A
3629;S1PR5;#N/A
3630;RAB1A;#N/A
3631;CTSG;#N/A
3632;METTL1;#N/A
3633;RNF111;#N/A
3634;MYL12B;#N/A
3635;DDX41;x
3636;NELL2;#N/A
3637;COASY;#N/A
3638;FRMD6;#N/A
3639;DIAPH1;#N/A
3640;CHP2;#N/A
3641;CSGALNACT2;#N/A
3642;PPP2R5D;#N/A
3643;MNDA;#N/A
3644;MYL12A;#N/A
3645;STMN1;#N/A
3646;NMI;#N/A
3647;VLDLR;#N/A
3648;SNAI1;#N/A
3649;SRPRB;#N/A
3650;AP1G2;#N/A
3651;HRG;#N/A
3652;SKI;#N/A
3653;NUP107;#N/A
3654;GCC2;#N/A
3655;CYFIP2;#N/A
3656;GTF2B;#N/A
3657;CNOT2;#N/A
3658;GATAD2B;#N/A
3659;PIK3C2B;x
3660;CYFIP1;#N/A
3661;ARL6IP6;#N/A
3662;FANCD2;x
3663;DFFB;#N/A
3664;BPTF;#N/A
3665;CDH17;#N/A
3666;ROGDI;#N/A
3667;RCC1;#N/A
3668;RALY;#N/A
3669;OAS3;#N/A
3670;CRLF1;#N/A
3671;CYTH2;#N/A
3672;TCEAL5;#N/A
3673;PLA2G4A;#N/A
3674;PTCH2;#N/A
3675;ELK4;x
3676;LHX1;#N/A
3677;DAZAP2;#N/A
3678;DYNC1LI1;#N/A
3679;RAB40C;#N/A
3680;MYL2;#N/A
3681;RPL38;#N/A
3682;SOCS2;#N/A
3683;KLRB1;#N/A
3684;ST6GALNAC5;#N/A
3685;EXOC2;#N/A
3686;MX1;#N/A
3687;AP1S1;#N/A
3688;HOXC4;#N/A
3689;USP53;#N/A
3690;DSTYK;#N/A
3691;SOSTDC1;#N/A
3692;KLK3;#N/A
3693;ITGA4;#N/A
3694;WDR59;#N/A
3695;SHMT1;#N/A
3696;DROSHA;#N/A
3697;ILF3;#N/A
3698;GPC4;#N/A
3699;ABRA;#N/A
3700;CCNG1;#N/A
3701;PLCD1;#N/A
3702;TFEC;#N/A
3703;POU1F1;#N/A
3704;ETS2;#N/A
3705;DCTN5;#N/A
3706;YES1;x
3707;RBL2;#N/A
3708;BOD1L1;#N/A
3709;COPS6;#N/A
3710;WDR76;#N/A
3711;VANGL1;#N/A
3712;NLRC3;#N/A
3713;PDS5A;#N/A
3714;CTSZ;#N/A
3715;OPTN;#N/A
3716;PKLR;#N/A
3717;CD209;#N/A
3718;COL18A1;#N/A
3719;HEG1;#N/A
3720;PAK6;#N/A
3721;POLA2;#N/A
3722;CKS2;#N/A
3723;LCOR;#N/A
3724;SEC13;#N/A
3725;NCF4;#N/A
3726;NTF3;#N/A
3727;ERCC1;x
3728;IFITM3;#N/A
3729;CUEDC1;#N/A
3730;WEE1;#N/A
3731;RANBP9;#N/A
3732;ASAH1;#N/A
3733;RNF4;#N/A
3734;DNAJC7;#N/A
3735;LYST;#N/A
3736;THBS4;#N/A
3737;PTPN14;x
3738;RSPO4;#N/A
3739;CNRIP1;#N/A
3740;MOV10;#N/A
3741;BMP8B;#N/A
3742;NR1H4;#N/A
3743;C8G;#N/A
3744;PODXL;#N/A
3745;WASF3;#N/A
3746;SGPL1;#N/A
3747;CYP2C9;#N/A
3748;DYNC1I1;#N/A
3749;GUCY1B1;#N/A
3750;TSHZ3;#N/A
3751;KLRK1;#N/A
3752;YY1;x
3753;SIRPG;#N/A
3754;APOBEC3F;#N/A
3755;CYP2E1;#N/A
3756;ARL8B;#N/A
3757;RSAD2;#N/A
3758;RPS6KA1;#N/A
3759;FOXO4;#N/A
3760;ACBD3;#N/A
3761;VPS33A;#N/A
3762;NPR1;#N/A
3763;EIF2AK1;#N/A
3764;CYTH3;#N/A
3765;NSFL1C;#N/A
3766;VDAC3;#N/A
3767;ALDH1B1;#N/A
3768;DEGS1;#N/A
3769;GOSR1;#N/A
3770;MED31;#N/A
3771;CACNA1B;#N/A
3772;PLA2G4B;#N/A
3773;HK1;#N/A
3774;ALOX12;#N/A
3775;DOK6;#N/A
3776;SPACA1;#N/A
3777;SPTLC2;#N/A
3778;S1PR4;#N/A
3779;NIPBL;#N/A
3780;EFNA2;#N/A
3781;ACOX1;#N/A
3782;YAF2;#N/A
3783;CXCR3;#N/A
3784;OR51E2;#N/A
3785;EPN1;#N/A
3786;ARHGEF6;#N/A
3787;TET1;x
3788;GINS2;#N/A
3789;GYPB;#N/A
3790;CASS4;#N/A
3791;CLK1;#N/A
3792;JOSD2;#N/A
3793;DYNLT3;#N/A
3794;EML4;#N/A
3795;SAR1A;#N/A
3796;RNASEH2B;x
3797;SETX;#N/A
3798;DGKZ;#N/A
3799;LATS2;x
3800;NOLC1;#N/A
3801;CLDN7;#N/A
3802;DYNC2LI1;#N/A
3803;BRD4;x
3804;CTSO;#N/A
3805;HOOK3;#N/A
3806;SH3GL3;#N/A
3807;NEDD8;#N/A
3808;ARID4B;x
3809;DR1;#N/A
3810;MME;#N/A
3811;NPPC;#N/A
3812;ALDH7A1;#N/A
3813;SENP2;#N/A
3814;MEFV;#N/A
3815;PTGIR;#N/A
3816;CREBRF;#N/A
3817;VPS39;#N/A
3818;IFIH1;#N/A
3819;PIAS2;#N/A
3820;EIF2AK4;#N/A
3821;CPT1A;#N/A
3822;ANAPC4;#N/A
3823;HVCN1;#N/A
3824;ATP6V0D1;#N/A
3825;SERPINF2;#N/A
3826;APOBEC3B;#N/A
3827;CLDN4;#N/A
3828;FH;x
3829;TM9SF4;#N/A
3830;SLC4A7;#N/A
3831;C4A;#N/A
3832;USP47;#N/A
3833;FBXO22;#N/A
3834;ARMC1;#N/A
3835;DYNLRB2;#N/A
3836;PURA;#N/A
3837;ARG2;#N/A
3838;ALDH9A1;#N/A
3839;MLX;#N/A
3840;P2RY12;#N/A
3841;NSL1;#N/A
3842;LSM10;#N/A
3843;PDE2A;#N/A
3844;CD1A;#N/A
3845;CD1E;#N/A
3846;ACADM;#N/A
3847;ADH5;#N/A
3848;C1S;#N/A
3849;PLA2G4C;#N/A
3850;PLEKHM1;#N/A
3851;SLC31A1;#N/A
3852;ARL8A;#N/A
3853;EFNA4;#N/A
3854;CTSF;#N/A
3855;SAR1B;#N/A
3856;IVL;#N/A
3857;GAS7;#N/A
3858;INTS10;#N/A
3859;NEDD4L;#N/A
3860;MARCKS;#N/A
3861;OAS1;#N/A
3862;ST14;#N/A
3863;APOBEC3C;#N/A
3864;CACNA1C;#N/A
3865;CLDN8;#N/A
3866;NACC1;#N/A
3867;C7;#N/A
3868;HMGB2;#N/A
3869;KRT5;#N/A
3870;CRISP3;#N/A
3871;ACACB;#N/A
3872;UPK3A;#N/A
3873;RPL30;#N/A
3874;MBD5;#N/A
3875;MIF;#N/A
3876;CYP2C8;#N/A
3877;M6PR;#N/A
3878;RNF180;#N/A
3879;MLYCD;#N/A
3880;AGO1;x
3881;VANGL2;#N/A
